kernel,FLOPS
boundary_kernel_element_local,3744
fM1,288
fM2,288
fM3,288
fM4,288
fP111,288
fP112,288
fP113,288
fP121,288
fP122,288
fP123,288
fP131,288
fP132,288
fP133,288
fP141,288
fP142,288
fP143,288
fP211,288
fP212,288
fP213,288
fP221,288
fP222,288
fP223,288
fP231,288
fP232,288
fP233,288
fP241,288
fP242,288
fP243,288
fP311,288
fP312,288
fP313,288
fP321,288
fP322,288
fP323,288
fP331,288
fP332,288
fP333,288
fP341,288
fP342,288
fP343,288
fP411,288
fP412,288
fP413,288
fP421,288
fP422,288
fP423,288
fP431,288
fP432,288
fP433,288
fP441,288
fP442,288
fP443,288
flux_solver,648
kEtaDivM,36
kEtaDivMT_4,36
kXiDivM,18
kXiDivMT_4,18
kZetaDivM,54
kZetaDivMT_4,54
star_matrix,192
star_matrix_ader_1,48
time_kernel,360
volume_kernel,684
