kernel,FLOPS
boundary_kernel_element_local,9396
fM1,360
fM2,612
fM3,972
fM4,972
fP111,612
fP112,612
fP113,360
fP121,720
fP122,1224
fP123,1224
fP131,1458
fP132,1368
fP133,1368
fP141,1368
fP142,1368
fP143,1458
fP211,720
fP212,1224
fP213,1224
fP221,1512
fP222,612
fP223,1512
fP231,1098
fP232,1512
fP233,1512
fP241,1512
fP242,1098
fP243,1512
fP311,1458
fP312,1368
fP313,1368
fP321,1098
fP322,1512
fP323,1512
fP331,1224
fP332,1764
fP333,1260
fP341,972
fP342,1674
fP343,1674
fP411,1368
fP412,1368
fP413,1458
fP421,1512
fP422,1098
fP423,1512
fP431,972
fP432,1674
fP433,1674
fP441,1224
fP442,1260
fP443,1764
flux_solver,1620
kEta,306
kXi,126
kZeta,396
star_matrix,480
time_kernel,4986
volume_kernel,2268
