kernel,FLOPS
boundary_kernel_element_local,105336
fM1,3528
fM2,10080
fM3,27720
fM4,27720
fP111,9936
fP112,9936
fP113,3528
fP121,12348
fP122,34776
fP123,34776
fP131,45324
fP132,39852
fP133,39852
fP141,39852
fP142,39852
fP143,45324
fP211,12348
fP212,34776
fP213,34776
fP221,48564
fP222,10080
fP223,48564
fP231,30996
fP232,48348
fP233,45162
fP241,48348
fP242,30996
fP243,45162
fP311,45324
fP312,39852
fP313,39852
fP321,30996
fP322,48348
fP323,45162
fP331,35028
fP332,56232
fP333,38160
fP341,27720
fP342,52290
fP343,52290
fP411,39852
fP412,39852
fP413,45324
fP421,48348
fP422,30996
fP423,45162
fP431,27720
fP432,52290
fP433,52290
fP441,35028
fP442,38160
fP443,56232
flux_solver,9072
kEta,12096
kXi,5292
kZeta,13356
star_matrix,2688
time_kernel,199584
volume_kernel,38808
