kernel,FLOPS
boundary_kernel_element_local,73332
fM1,1890
fM2,4662
fM3,22050
fM4,22050
fP111,4626
fP112,4626
fP113,1890
fP121,22050
fP122,22050
fP123,22050
fP131,22050
fP132,22050
fP133,22050
fP141,22050
fP142,22050
fP143,22050
fP211,22050
fP212,22050
fP213,22050
fP221,22050
fP222,4662
fP223,22050
fP231,22050
fP232,22050
fP233,22050
fP241,22050
fP242,22050
fP243,22050
fP311,22050
fP312,22050
fP313,22050
fP321,22050
fP322,22050
fP323,22050
fP331,22050
fP332,22050
fP333,22050
fP341,22050
fP342,22050
fP343,22050
fP411,22050
fP412,22050
fP413,22050
fP421,22050
fP422,22050
fP423,22050
fP431,22050
fP432,22050
fP433,22050
fP441,22050
fP442,22050
fP443,22050
flux_solver,5670
kEtaDivM,4536
kEtaDivMT_10,306
kEtaDivMT_20,1386
kEtaDivMT_35,4536
kEtaDivMT_4,36
kXiDivM,1944
kXiDivMT_10,126
kXiDivMT_20,594
kXiDivMT_35,1944
kXiDivMT_4,18
kZetaDivM,5166
kZetaDivMT_10,396
kZetaDivMT_20,1656
kZetaDivMT_35,5166
kZetaDivMT_4,54
star_matrix,1680
star_matrix_ader_1,48
star_matrix_ader_10,480
star_matrix_ader_20,960
star_matrix_ader_4,192
time_kernel,24093
volume_kernel,16686
