kernel,FLOPS
boundary_kernel_element_local,35460
fM1,900
fM2,7200
fM3,7200
fM4,7200
fP111,7200
fP112,7200
fP113,900
fP121,7200
fP122,7200
fP123,7200
fP131,7200
fP132,7200
fP133,7200
fP141,7200
fP142,7200
fP143,7200
fP211,7200
fP212,7200
fP213,7200
fP221,7200
fP222,7200
fP223,7200
fP231,7200
fP232,7200
fP233,7200
fP241,7200
fP242,7200
fP243,7200
fP311,7200
fP312,7200
fP313,7200
fP321,7200
fP322,7200
fP323,7200
fP331,7200
fP332,7200
fP333,7200
fP341,7200
fP342,7200
fP343,7200
fP411,7200
fP412,7200
fP413,7200
fP421,7200
fP422,7200
fP423,7200
fP431,7200
fP432,7200
fP433,7200
fP441,7200
fP442,7200
fP443,7200
flux_solver,3240
kEta,1386
kXi,594
kZeta,1656
star_matrix,960
time_kernel,20808
volume_kernel,6516
