kernel,FLOPS
boundary_kernel_element_local,23076
fM1,900
fM2,1872
fM3,3672
fM4,3672
fP111,1872
fP112,1872
fP113,900
fP121,2250
fP122,4680
fP123,4680
fP131,5760
fP132,5148
fP133,5310
fP141,5310
fP142,5148
fP143,5760
fP211,2250
fP212,4680
fP213,4680
fP221,6084
fP222,1872
fP223,6084
fP231,4176
fP232,6120
fP233,5850
fP241,6120
fP242,4176
fP243,5850
fP311,5760
fP312,5148
fP313,5310
fP321,4176
fP322,6120
fP323,5850
fP331,4644
fP332,7092
fP333,4932
fP341,3672
fP342,6678
fP343,6678
fP411,5310
fP412,5148
fP413,5760
fP421,6120
fP422,4176
fP423,5850
fP431,3672
fP432,6678
fP433,6678
fP441,4644
fP442,4932
fP443,7092
flux_solver,3240
kEta,1386
kXi,594
kZeta,1656
star_matrix,960
time_kernel,20808
volume_kernel,6516
