kernel,FLOPS
boundary_kernel_element_local,3204
fM1,108
fM2,144
fM3,180
fM4,180
fP111,144
fP112,144
fP113,108
fP121,162
fP122,216
fP123,216
fP131,252
fP132,234
fP133,234
fP141,234
fP142,234
fP143,252
fP211,162
fP212,216
fP213,216
fP221,252
fP222,144
fP223,252
fP231,198
fP232,252
fP233,252
fP241,252
fP242,198
fP243,252
fP311,252
fP312,234
fP313,234
fP321,198
fP322,252
fP323,252
fP331,216
fP332,288
fP333,216
fP341,180
fP342,270
fP343,270
fP411,234
fP412,234
fP413,252
fP421,252
fP422,198
fP423,252
fP431,180
fP432,270
fP433,270
fP441,216
fP442,216
fP443,288
flux_solver,648
kEta,36
kXi,18
kZeta,54
star_matrix,192
time_kernel,792
volume_kernel,684
